L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.626799,0.782742,0.795046,0.756369,1.0331,1.212375,1.229644,1.198586,0.552111,0.524174,0.564597,0.611824,0.445316,0.471063,0.436101,0.390561,0.146891,0.050496,0.051544,0.054332,0.073594,0.066077,0.065088,0.045105
0.62668,0.780469,0.79273,0.754091,1.029985,1.209287,1.226577,1.195505,0.551769,0.524161,0.564589,0.611752,0.445246,0.471092,0.436149,0.39054,0.150324,0.050778,0.051628,0.055084,0.073572,0.065907,0.064918,0.045054
0.626727,0.778255,0.790463,0.751866,1.026869,1.206198,1.223506,1.192422,0.551409,0.524145,0.564578,0.611673,0.445186,0.471133,0.436207,0.390528,0.153856,0.051124,0.051761,0.055918,0.073547,0.06574,0.064751,0.045009
0.626944,0.776103,0.788247,0.749696,1.023752,1.203108,1.220429,1.189337,0.551036,0.524123,0.564563,0.611586,0.445136,0.471185,0.436274,0.390524,0.157485,0.051542,0.051949,0.056841,0.073517,0.065574,0.064588,0.044969
0.627334,0.774017,0.786083,0.747584,1.020634,1.200017,1.217347,1.186249,0.550652,0.524095,0.564543,0.611491,0.445096,0.471246,0.436349,0.390527,0.161211,0.052039,0.052198,0.057858,0.073485,0.06541,0.064428,0.044934
0.627898,0.771998,0.783973,0.745531,1.017516,1.196926,1.21426,1.18316,0.550259,0.524062,0.56452,0.611388,0.445065,0.471313,0.43643,0.390535,0.165032,0.052622,0.052513,0.058973,0.073449,0.06525,0.064271,0.044904
0.628638,0.770051,0.781919,0.743538,1.014397,1.193835,1.211168,1.180069,0.54986,0.524021,0.564492,0.611275,0.445042,0.471387,0.436516,0.390549,0.168944,0.053296,0.052898,0.060188,0.073412,0.065094,0.064118,0.044877
0.629556,0.768178,0.779922,0.741606,1.011277,1.190743,1.208071,1.176975,0.549457,0.523974,0.56446,0.611153,0.445027,0.471464,0.436605,0.390565,0.172943,0.054066,0.053357,0.061506,0.073374,0.064942,0.063968,0.044854
0.630653,0.766382,0.777985,0.739736,1.008158,1.18765,1.204971,1.17388,0.549054,0.523919,0.564426,0.61102,0.445019,0.471542,0.436694,0.390583,0.177022,0.054934,0.053894,0.062927,0.073334,0.064794,0.063822,0.044835
0.631929,0.764666,0.776109,0.737929,1.005037,1.184556,1.201868,1.170782,0.548651,0.523857,0.56439,0.610875,0.445017,0.47162,0.436784,0.390602,0.181176,0.055903,0.05451,0.064452,0.073295,0.064652,0.06368,0.044819
0.633384,0.763034,0.774297,0.736188,1.001916,1.181462,1.198763,1.167681,0.548252,0.523789,0.564351,0.610717,0.44502,0.471695,0.436872,0.390619,0.185394,0.056971,0.055208,0.066078,0.073256,0.064516,0.063543,0.044805
